id_tahun,tahun,vervar_label,nilai,status,last_update,var_label,subject_id,subject_label,var_id,var_unit,related_ids,related_titles,related_links,vervar_id,turvar_id,turvar_label
100,,,,Data Tidak Ditemukan,,,,,,,,,,,,
101,,,,Data Tidak Ditemukan,,,,,,,,,,,,
102,,,,Data Tidak Ditemukan,,,,,,,,,,,,
103,,,,Data Tidak Ditemukan,,,,,,,,,,,,
104,,,,Data Tidak Ditemukan,,,,,,,,,,,,
105,,,,Data Tidak Ditemukan,,,,,,,,,,,,
106,,,,Data Tidak Ditemukan,,,,,,,,,,,,
107,,,,Data Tidak Ditemukan,,,,,,,,,,,,
108,,,,Data Tidak Ditemukan,,,,,,,,,,,,
109,,,,Data Tidak Ditemukan,,,,,,,,,,,,
110,,,,Data Tidak Ditemukan,,,,,,,,,,,,
111,,,,Data Tidak Ditemukan,,,,,,,,,,,,
112,,,,Data Tidak Ditemukan,,,,,,,,,,,,
113,,,,Data Tidak Ditemukan,,,,,,,,,,,,
114,,BARRU,,Data Tidak Ditemukan,2022-07-05 09:18:36,Jumlah Penabung dan Nilai Tabungan Perbankan,562.0,"Perbankan, Asuransi dan Finansial",199.0,,MjAxIzI=; MTQyIzI=; MTcxIzI=; MTY4IzI=; MTk4IzI=; MTE1IzI=; MTIxIzI=,"Dana Perbankan Menurut Jenis; Jumlah Industri Kecil Menengah, Tenaga Kerja dan Nilai Investasi Menurut Jenis Industri di Kabupaten Barru ; Jumlah Kecelakaan Lalu Lintas dan Korban; Jumlah Penduduk Menurut Kecamatan dan Agama; Jumlah Bank Menurut Jenis dan Status Kantor; Jumlah Penduduk Menurut Kelompok Umur dan Jenis Kelamin; Jumlah PNS menurut Pendidikan dan Jenis Kelamin",/2/MjAxIzI=/dana-perbankan-menurut-jenis.html; /2/MTQyIzI=/jumlah-industri-kecil-menengah--tenaga-kerja-dan-nilai-investasi-menurut-jenis-industri-di-kabupaten-barru-.html; /2/MTcxIzI=/jumlah-kecelakaan-lalu-lintas-dan-korban.html; /2/MTY4IzI=/jumlah-penduduk-menurut-kecamatan-dan-agama.html; /2/MTk4IzI=/jumlah-bank-menurut-jenis-dan-status-kantor.html; /2/MTE1IzI=/jumlah-penduduk-menurut-kelompok-umur-dan-jenis-kelamin.html; /2/MTIxIzI=/jumlah-pns-menurut-pendidikan-dan-jenis-kelamin.html,7310.0,167.0,Penabung
114,,BARRU,,Data Tidak Ditemukan,2022-07-05 09:18:36,Jumlah Penabung dan Nilai Tabungan Perbankan,562.0,"Perbankan, Asuransi dan Finansial",199.0,,MjAxIzI=; MTQyIzI=; MTcxIzI=; MTY4IzI=; MTk4IzI=; MTE1IzI=; MTIxIzI=,"Dana Perbankan Menurut Jenis; Jumlah Industri Kecil Menengah, Tenaga Kerja dan Nilai Investasi Menurut Jenis Industri di Kabupaten Barru ; Jumlah Kecelakaan Lalu Lintas dan Korban; Jumlah Penduduk Menurut Kecamatan dan Agama; Jumlah Bank Menurut Jenis dan Status Kantor; Jumlah Penduduk Menurut Kelompok Umur dan Jenis Kelamin; Jumlah PNS menurut Pendidikan dan Jenis Kelamin",/2/MjAxIzI=/dana-perbankan-menurut-jenis.html; /2/MTQyIzI=/jumlah-industri-kecil-menengah--tenaga-kerja-dan-nilai-investasi-menurut-jenis-industri-di-kabupaten-barru-.html; /2/MTcxIzI=/jumlah-kecelakaan-lalu-lintas-dan-korban.html; /2/MTY4IzI=/jumlah-penduduk-menurut-kecamatan-dan-agama.html; /2/MTk4IzI=/jumlah-bank-menurut-jenis-dan-status-kantor.html; /2/MTE1IzI=/jumlah-penduduk-menurut-kelompok-umur-dan-jenis-kelamin.html; /2/MTIxIzI=/jumlah-pns-menurut-pendidikan-dan-jenis-kelamin.html,7310.0,168.0,Nilai (Juta Rupiah)
