id_tahun,tahun,vervar_label,nilai,status,last_update,var_label,subject_id,subject_label,var_id,var_unit,related_ids,related_titles,related_links,vervar_id,turvar_id,turvar_label
100,,,,Data Tidak Ditemukan,,,,,,,,,,,,
101,,,,Data Tidak Ditemukan,,,,,,,,,,,,
102,,,,Data Tidak Ditemukan,,,,,,,,,,,,
103,,,,Data Tidak Ditemukan,,,,,,,,,,,,
104,,,,Data Tidak Ditemukan,,,,,,,,,,,,
105,,,,Data Tidak Ditemukan,,,,,,,,,,,,
106,,,,Data Tidak Ditemukan,,,,,,,,,,,,
107,,,,Data Tidak Ditemukan,,,,,,,,,,,,
108,,,,Data Tidak Ditemukan,,,,,,,,,,,,
109,,,,Data Tidak Ditemukan,,,,,,,,,,,,
110,,,,Data Tidak Ditemukan,,,,,,,,,,,,
111,,,,Data Tidak Ditemukan,,,,,,,,,,,,
112,,,,Data Tidak Ditemukan,,,,,,,,,,,,
113,,,,Data Tidak Ditemukan,,,,,,,,,,,,
114,,,,Data Tidak Ditemukan,,,,,,,,,,,,
115,,,,Data Tidak Ditemukan,,,,,,,,,,,,
116,,,,Data Tidak Ditemukan,,,,,,,,,,,,
117,,,,Data Tidak Ditemukan,,,,,,,,,,,,
118,,Negara,,Data Tidak Ditemukan,2022-07-01 09:01:50,Panjang Jalan Menurut Tingkat Kewenangan Pemerintah di Kabupaten Barru,560.0,Transportasi,180.0,Jiwa,MTgxIzI=; MzUjMQ==; MzQjMQ==; MzYjMg==; MjQyIzI=; WWpaV01rbDBibGxqUTFWSE5rRjBkbmxYV0d0a2R6MDkjMw==; WWpaV01rbDBibGxqUTFWSE5rRjBkbmxYV0d0a2R6MDkjMw==,"Panjang Jalan Menurut Tingkat Kewenangan Pemerintah in Barru; Panjang Jalan Kabupaten Menurut Kondisi Jalan di Kabupaten Barru (Km) 2017-2021; Panjang Jalan Kabupaten Menurut Jenis Permukaan Jalan di Kabupaten Barru  (Km) 2017-2021; Luas Wilayah Menurut Kecamatan di Kabupaten Barru; Gini Rasio di Kabupaten Barru ; Jumlah Pegawai Negeri Sipil Menurut Tingkat Pendidikan dan Jenis Kelamin di Kabupaten Barru, 2018; Jumlah Pegawai Negeri Sipil Menurut Tingkat Pendidikan dan Jenis Kelamin di Kabupaten Barru, 2021",/2/MTgxIzI=/panjang-jalan-menurut-tingkat-kewenangan-pemerintah-in-barru.html; /1/MzUjMQ==/panjang-jalan-kabupaten-menurut-kondisi-jalan-di-kabupaten-barru--km--2017-2021.html; /1/MzQjMQ==/panjang-jalan-kabupaten-menurut-jenis-permukaan-jalan-di-kabupaten-barru---km--2017-2021.html; /2/MzYjMg==/luas-wilayah-menurut-kecamatan-di-kabupaten-barru.html; /2/MjQyIzI=/gini-rasio-di-kabupaten-barru-.html; /3/WWpaV01rbDBibGxqUTFWSE5rRjBkbmxYV0d0a2R6MDkjMw==/jumlah-pegawai-negeri-sipil-menurut-tingkat-pendidikan-dan-jenis-kelamin-di-kabupaten-barru--2018.html?year=2018; /3/WWpaV01rbDBibGxqUTFWSE5rRjBkbmxYV0d0a2R6MDkjMw==/jumlah-pegawai-negeri-sipil-menurut-tingkat-pendidikan-dan-jenis-kelamin-di-kabupaten-barru--2021.html?year=2021,1.0,0,Tidak ada
